tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
368.00;451652904#0_0;105.43;11.10;189.00;0.00;-189469606_0;3.80;0.00;tripinfo_189;179.00;189;0;1710.24;1.00;18.40;DEFAULT_VEHTYPE;;0
371.00;451652904#0_0;105.43;10.23;155.00;0.00;27102750#1_0;5.10;0.00;tripinfo_155;216.00;155;0;2036.54;1.00;26.46;DEFAULT_VEHTYPE;;0
372.00;287533399_0;69.46;8.04;127.00;0.00;326309727#1_0;5.10;0.00;tripinfo_127;245.00;127;0;2320.16;1.00;26.38;DEFAULT_VEHTYPE;;0
373.00;-208928171_0;12.08;12.99;199.00;0.00;229187724#3_0;4.52;0.00;tripinfo_199;174.00;199;0;1710.36;1.00;18.08;DEFAULT_VEHTYPE;;0
374.00;161357702#2_0;5.04;7.55;124.00;0.00;471664572#2_0;5.10;0.00;tripinfo_124;250.00;124;0;2323.30;1.00;43.05;DEFAULT_VEHTYPE;;17
382.00;287533435#0_0;90.66;13.07;196.00;0.00;287533392#0_0;5.10;0.00;tripinfo_196;186.00;196;0;1945.74;1.00;28.34;DEFAULT_VEHTYPE;;1
383.00;27103295#0_0;151.89;10.58;149.00;0.00;184701778_0;0.20;0.00;tripinfo_149;234.00;149;0;2182.99;1.00;21.71;DEFAULT_VEHTYPE;;0
385.00;287533397_0;51.12;10.35;183.00;0.00;-444048536#0_0;5.10;0.00;tripinfo_183;202.00;183;0;2194.21;1.00;21.02;DEFAULT_VEHTYPE;;0
394.00;161357702#1_0;58.57;7.79;176.00;0.00;326467641#0_0;5.10;0.00;tripinfo_176;218.00;176;0;2033.58;1.00;26.45;DEFAULT_VEHTYPE;;0
418.00;27103295#0_0;151.89;10.17;181.00;0.00;184701778_0;0.20;0.00;tripinfo_181;237.00;181;0;2182.99;1.00;24.96;DEFAULT_VEHTYPE;;2
426.00;171797495#0_0;35.80;5.42;181.00;3.00;326309727#5_0;5.10;0.00;tripinfo_178;245.00;178;0;2224.87;1.00;27.08;DEFAULT_VEHTYPE;;0
